Payment measure name,Payment,Value of care category
Payment for heart attack patients,"$21,029 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$24,404 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,749 ",Worse mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,624 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,852 ",Average complications and average payment
Payment for heart attack patients,"$25,076 ",Average mortality and average payment
Payment for pneumonia patients,"$16,901 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,271 ",Average complications and average payment
Payment for pneumonia patients,"$17,531 ",Worse mortality and average payment
Payment for heart attack patients,"$22,255 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$24,704 ",Average mortality and average payment
Payment for pneumonia patients,"$17,747 ",Better mortality and higher payment
Payment for pneumonia patients,"$14,161 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,108 ",Better mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,827 ",Average complications and average payment
Payment for pneumonia patients,"$15,523 ",Average mortality and average payment
Payment for heart attack patients,"$23,090 ",Average mortality and average payment
Payment for heart attack patients,"$22,679 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,413 ",Average complications and average payment
Payment for pneumonia patients,"$16,144 ",Average mortality and average payment
Payment for heart attack patients,"$24,836 ",Average mortality and higher payment
Payment for pneumonia patients,"$15,792 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,255 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,374 ",Average mortality and average payment
Payment for heart attack patients,"$26,500 ",Average mortality and higher payment
Payment for heart attack patients,"$23,496 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$13,197 ",Average mortality and lower payment
Payment for heart attack patients,"$23,729 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$24,431 ",Average complications and average payment
Payment for heart attack patients,"$22,609 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,897 ",Average complications and average payment
Payment for heart attack patients,"$23,147 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$26,274 ",Average complications and higher payment
Payment for pneumonia patients,"$14,697 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$23,170 ",Average complications and average payment
Payment for hip/knee replacement patients,"$24,808 ",Average complications and higher payment
Payment for heart failure patients,"$15,879 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$25,101 ",Better complications and higher payment
Payment for hip/knee replacement patients,"$20,106 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,890 ",Average mortality and average payment
Payment for heart attack patients,"$22,920 ",Average mortality and average payment
Payment for heart attack patients,"$23,448 ",Average mortality and average payment
Payment for heart failure patients,"$17,035 ",Worse mortality and higher payment
Payment for pneumonia patients,"$18,271 ",Average mortality and higher payment
Payment for pneumonia patients,"$18,264 ",Average mortality and higher payment
Payment for pneumonia patients,"$17,638 ",Average mortality and average payment
